table_name	column_name
mdl_assign	id
mdl_assign	course
mdl_assign	name
mdl_assign	intro
mdl_assign	introformat
mdl_assign	alwaysshowdescription
mdl_assign	nosubmissions
mdl_assign	submissiondrafts
mdl_assign	sendnotifications
mdl_assign	sendlatenotifications
mdl_assign	duedate
mdl_assign	allowsubmissionsfromdate
mdl_assign	grade
mdl_assign	timemodified
mdl_assign	requiresubmissionstatement
mdl_assign	completionsubmit
mdl_assign	cutoffdate
mdl_assign	teamsubmission
mdl_assign	requireallteammemberssubmit
mdl_assign	teamsubmissiongroupingid
mdl_assign	blindmarking
mdl_assign	revealidentities
mdl_assign	attemptreopenmethod
mdl_assign	maxattempts
mdl_assign	markingworkflow
mdl_assign	markingallocation
mdl_assign	sendstudentnotifications
mdl_assign	preventsubmissionnotingroup
mdl_assign_grades	id
mdl_assign_grades	assignment
mdl_assign_grades	userid
mdl_assign_grades	timecreated
mdl_assign_grades	timemodified
mdl_assign_grades	grader
mdl_assign_grades	grade
mdl_assign_grades	attemptnumber
mdl_assign_overrides	id
mdl_assign_overrides	assignid
mdl_assign_overrides	groupid
mdl_assign_overrides	userid
mdl_assign_overrides	sortorder
mdl_assign_overrides	allowsubmissionsfromdate
mdl_assign_overrides	duedate
mdl_assign_overrides	cutoffdate
mdl_assign_plugin_config	id
mdl_assign_plugin_config	assignment
mdl_assign_plugin_config	plugin
mdl_assign_plugin_config	subtype
mdl_assign_plugin_config	name
mdl_assign_plugin_config	value
mdl_assign_submission	id
mdl_assign_submission	assignment
mdl_assign_submission	userid
mdl_assign_submission	timecreated
mdl_assign_submission	timemodified
mdl_assign_submission	status
mdl_assign_submission	groupid
mdl_assign_submission	attemptnumber
mdl_assign_submission	latest
mdl_assign_user_flags	id
mdl_assign_user_flags	userid
mdl_assign_user_flags	assignment
mdl_assign_user_flags	locked
mdl_assign_user_flags	mailed
mdl_assign_user_flags	extensionduedate
mdl_assign_user_flags	workflowstate
mdl_assign_user_flags	allocatedmarker
mdl_assign_user_mapping	id
mdl_assign_user_mapping	assignment
mdl_assign_user_mapping	userid
mdl_assignfeedback_comments	id
mdl_assignfeedback_comments	assignment
mdl_assignfeedback_comments	grade
mdl_assignfeedback_comments	commenttext
mdl_assignfeedback_comments	commentformat
mdl_assignfeedback_editpdf_annot	id
mdl_assignfeedback_editpdf_annot	gradeid
mdl_assignfeedback_editpdf_annot	pageno
mdl_assignfeedback_editpdf_annot	x
mdl_assignfeedback_editpdf_annot	y
mdl_assignfeedback_editpdf_annot	endx
mdl_assignfeedback_editpdf_annot	endy
mdl_assignfeedback_editpdf_annot	path
mdl_assignfeedback_editpdf_annot	type
mdl_assignfeedback_editpdf_annot	colour
mdl_assignfeedback_editpdf_annot	draft
mdl_assignfeedback_editpdf_cmnt	id
mdl_assignfeedback_editpdf_cmnt	gradeid
mdl_assignfeedback_editpdf_cmnt	x
mdl_assignfeedback_editpdf_cmnt	y
mdl_assignfeedback_editpdf_cmnt	width
mdl_assignfeedback_editpdf_cmnt	rawtext
mdl_assignfeedback_editpdf_cmnt	pageno
mdl_assignfeedback_editpdf_cmnt	colour
mdl_assignfeedback_editpdf_cmnt	draft
mdl_assignfeedback_editpdf_queue	id
mdl_assignfeedback_editpdf_queue	submissionid
mdl_assignfeedback_editpdf_queue	submissionattempt
mdl_assignfeedback_editpdf_quick	id
mdl_assignfeedback_editpdf_quick	userid
mdl_assignfeedback_editpdf_quick	rawtext
mdl_assignfeedback_editpdf_quick	width
mdl_assignfeedback_editpdf_quick	colour
mdl_assignfeedback_file	id
mdl_assignfeedback_file	assignment
mdl_assignfeedback_file	grade
mdl_assignfeedback_file	numfiles
mdl_assignment	id
mdl_assignment	course
mdl_assignment	name
mdl_assignment	intro
mdl_assignment	introformat
mdl_assignment	assignmenttype
mdl_assignment	resubmit
mdl_assignment	preventlate
mdl_assignment	emailteachers
mdl_assignment	var1
mdl_assignment	var2
mdl_assignment	var3
mdl_assignment	var4
mdl_assignment	var5
mdl_assignment	maxbytes
mdl_assignment	timedue
mdl_assignment	timeavailable
mdl_assignment	grade
mdl_assignment	timemodified
mdl_assignment_submissions	id
mdl_assignment_submissions	assignment
mdl_assignment_submissions	userid
mdl_assignment_submissions	timecreated
mdl_assignment_submissions	timemodified
mdl_assignment_submissions	numfiles
mdl_assignment_submissions	data1
mdl_assignment_submissions	data2
mdl_assignment_submissions	grade
mdl_assignment_submissions	submissioncomment
mdl_assignment_submissions	format
mdl_assignment_submissions	teacher
mdl_assignment_submissions	timemarked
mdl_assignment_submissions	mailed
mdl_assignment_upgrade	id
mdl_assignment_upgrade	oldcmid
mdl_assignment_upgrade	oldinstance
mdl_assignment_upgrade	newcmid
mdl_assignment_upgrade	newinstance
mdl_assignment_upgrade	timecreated
mdl_assignsubmission_file	id
mdl_assignsubmission_file	assignment
mdl_assignsubmission_file	submission
mdl_assignsubmission_file	numfiles
mdl_assignsubmission_onlinetext	id
mdl_assignsubmission_onlinetext	assignment
mdl_assignsubmission_onlinetext	submission
mdl_assignsubmission_onlinetext	onlinetext
mdl_assignsubmission_onlinetext	onlineformat
mdl_backup_controllers	id
mdl_backup_controllers	backupid
mdl_backup_controllers	operation
mdl_backup_controllers	type
mdl_backup_controllers	itemid
mdl_backup_controllers	format
mdl_backup_controllers	interactive
mdl_backup_controllers	purpose
mdl_backup_controllers	userid
mdl_backup_controllers	status
mdl_backup_controllers	execution
mdl_backup_controllers	executiontime
mdl_backup_controllers	checksum
mdl_backup_controllers	timecreated
mdl_backup_controllers	timemodified
mdl_backup_controllers	controller
mdl_backup_courses	id
mdl_backup_courses	courseid
mdl_backup_courses	laststarttime
mdl_backup_courses	lastendtime
mdl_backup_courses	laststatus
mdl_backup_courses	nextstarttime
mdl_backup_logs	id
mdl_backup_logs	backupid
mdl_backup_logs	loglevel
mdl_backup_logs	message
mdl_backup_logs	timecreated
mdl_badge	id
mdl_badge	name
mdl_badge	description
mdl_badge	timecreated
mdl_badge	timemodified
mdl_badge	usercreated
mdl_badge	usermodified
